path,risk_level,category,length,depth,has_dot,has_underline,has_dash,contains_admin,contains_login,contains_backup,contains_config,contains_zip,status_code,redirect_count,final_url,has_password_input,has_username_input,has_login_form,has_set_cookie,keyword_hits,page_length,label,status_strategy
info.action,Low,Other,11,0,1,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/info.action,0,0,0,0,0,646,0,Directly analyze content
api/users,Low,Other,9,1,0,0,0,0,0,0,0,0,404,0,https://mall.gitapp.cn/api/users,0,0,0,0,0,0,0,Cached from previous scan
v3/api-docs,Low,Other,11,1,0,0,1,0,0,0,0,0,200,0,https://mall.gitapp.cn/v3/api-docs,0,0,0,0,0,646,0,Directly analyze content
static,Low,Other,6,0,0,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/static,0,0,0,0,0,646,0,Directly analyze content
css.do,Low,Other,6,0,1,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/css.do,0,0,0,0,0,646,0,Directly analyze content
metrics,Low,Other,7,0,0,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/metrics,0,0,0,0,0,646,0,Directly analyze content
v2/api-docs,Low,Other,11,1,0,0,1,0,0,0,0,0,200,0,https://mall.gitapp.cn/v2/api-docs,0,0,0,0,0,646,0,Directly analyze content
admin/users,Medium,Potential Sensitive,11,1,0,0,0,1,0,0,0,0,200,0,https://mall.gitapp.cn/admin/users,0,0,0,0,0,646,0,Directly analyze content
graphql.action,Low,Other,14,0,1,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/graphql.action,0,0,0,0,0,646,0,Directly analyze content
css,Low,Other,3,0,0,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/css,0,0,0,0,0,646,0,Directly analyze content
admin/users.jsp,Medium,Potential Sensitive,15,1,1,0,0,1,0,0,0,0,200,0,https://mall.gitapp.cn/admin/users.jsp,0,0,0,0,0,646,0,Directly analyze content
static/css.do,Low,Other,13,1,1,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/static/css.do,0,0,0,0,0,646,0,Directly analyze content
api/admin.do,Low,Other,12,1,1,0,0,1,0,0,0,0,404,0,https://mall.gitapp.cn/api/admin.do,0,0,0,0,0,0,0,Cached from previous scan
api/v1.jspx,Low,Other,11,1,1,0,0,0,0,0,0,0,404,0,https://mall.gitapp.cn/api/v1.jspx,0,0,0,0,0,0,0,Cached from previous scan
api,Low,Other,3,0,0,0,0,0,0,0,0,0,404,0,https://mall.gitapp.cn/api,0,0,0,0,0,0,0,Cached from previous scan
graphql.do,Low,Other,10,0,1,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/graphql.do,0,0,0,0,0,646,0,Directly analyze content
api/v2.action,Low,Other,13,1,1,0,0,0,0,0,0,0,404,0,https://mall.gitapp.cn/api/v2.action,0,0,0,0,0,0,0,Cached from previous scan
actuator/health.do,Low,Other,18,1,1,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/actuator/health.do,0,0,0,0,0,646,0,Directly analyze content
admin/login.jsp,High,Potential Sensitive,15,1,1,0,0,1,1,0,0,0,200,0,https://mall.gitapp.cn/admin/login.jsp,0,0,0,0,0,646,0,Directly analyze content
actuator/heapdump.jsp,Low,Other,21,1,1,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/actuator/heapdump.jsp,0,0,0,0,0,646,0,Directly analyze content
actuator/metrics.do,Low,Other,19,1,1,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/actuator/metrics.do,0,0,0,0,0,646,0,Directly analyze content
static/js.action,Low,Other,16,1,1,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/static/js.action,0,0,0,0,0,646,0,Directly analyze content
index.action,Low,Other,12,0,1,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/index.action,0,0,0,0,0,646,0,Directly analyze content
api/admin.jsp,Low,Other,13,1,1,0,0,1,0,0,0,0,404,0,https://mall.gitapp.cn/api/admin.jsp,0,0,0,0,0,0,0,Cached from previous scan
actuator/health.jspx,Low,Other,20,1,1,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/actuator/health.jspx,0,0,0,0,0,646,0,Directly analyze content
static.jspx,Low,Other,11,0,1,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/static.jspx,0,0,0,0,0,646,0,Directly analyze content
api/users.jsp,Low,Other,13,1,1,0,0,0,0,0,0,0,404,0,https://mall.gitapp.cn/api/users.jsp,0,0,0,0,0,0,0,Cached from previous scan
login.do,Medium,Potential Sensitive,8,0,1,0,0,0,1,0,0,0,200,0,https://mall.gitapp.cn/login.do,0,0,0,0,0,646,0,Directly analyze content
actuator/metrics.jsp,Low,Other,20,1,1,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/actuator/metrics.jsp,0,0,0,0,0,646,0,Directly analyze content
js,Low,Other,2,0,0,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/js,0,0,0,0,0,646,0,Directly analyze content
api/v2.jsp,Low,Other,10,1,1,0,0,0,0,0,0,0,404,0,https://mall.gitapp.cn/api/v2.jsp,0,0,0,0,0,0,0,Cached from previous scan
actuator/heapdump.jspx,Low,Other,22,1,1,0,0,0,0,0,0,0,200,0,https://mall.gitapp.cn/actuator/heapdump.jspx,0,0,0,0,0,646,0,Directly analyze content
